TAG,GLOSS,MORPHEMIC,ORTHOGRAPHIC,GITGLOSS,EXCLUDE,ERROR,NOTES
ROOT,away.II,suu,suu,suu,1,,
ROOT,away.III,suwii,suwii,suwii,1,,
ROOT,away.I,x̲hlaa,x̲hlaa,x̲hlaa,1,,
ROOT,join.II,yukws,yukws,yukws,,,
ROOT,relative.II,hliguu,hliguu,hliguu,,,
ROOT,relative.III,k̲'ap,k̲'ap,k̲'ap,,,
ROOT,angry.II,biyen,biyen,biyen,,,
ROOT,fall.I,gwen,gwen,gwen,,,
ROOT,as.if.I,heksim,heksim,heksim,1,,
ROOT,as.if.II,hets'im,hets'im,hets'im,1,,
ROOT,cover.II,habax̲,habax̲,habax̲,,,
ROOT,box.I,x̲biist,x̲biist,x̲biist,,,
ROOT,box.II,imx̲hlxw,imx̲hlxw,imx̲hlxw,,,
ROOT,always.I,adii,adii,adii,1,,
ROOT,always.II,adigwil,adigwil,adigwil,1,,
ROOT,skin.I,ts'o'o,ts'o'o,ts'o'o,,,
ROOT,skin.II,tk̲'a,tk̲'a,tk̲'a,,,
ROOT,be.full,mit,mit,mit,,,
ROOT,because,agwiyukw,agwiyukw,agwiyukw,1,,
ROOT,cold,g̲aneek̲,g̲aneek̲,g̲aneek̲,,,
ROOT,hunt,siilin,siilin,siilin,,,
ROOT,kill[,jekw,jekw,jekw,,,extra bracket?
ROOT,hard-CAUS2,sip-in,sipin,sip-in,,,? voicing should be sibin
ROOT,stick-CAUS2,hit'-in,hit'in,hit'-in,,,
ROOT,CAUS1-heart,si-g̲oot,sig̲oot,si-g̲oot,,,
ROOT,correct-CAUS2,hugwax̲-in,hugwax̲in,hugwax̲-in,,,
ROOT,wake.up-CAUS2,gyuks-in,gyuksin,gyuks-in,,,
ROOT,NMLZ-like-CAUS2,an-siip'-in,ansiip'in,an-siip'-in,,,
ROOT,NMLZ-use,an-hoox,anhoox,an-hoox,,,
ROOT,INS-straight-CAUS2,ha-bahlx̲-in,habahlx̲in,ha-bahlx̲-in,,,?
ROOT,INS-hurt,ha-siip,hasiip,ha-siip,,,
ROOT,be.so-CAUS2,nit-in,nitin,nit-in,,,"? voicing and initial apostrophe got lost, should be 'nidin"
ROOT,COM-enter,di-ts'in,dits'in,di-ts'in,,,
ROOT,NMLZ-dig,an-wok̲',anwok̲',an-wok̲',,,
